1.960870056e+02;6.602067966e-03
1.962940979e+02;9.133478627e-03
1.965012054e+02;2.396031283e-02
1.967083282e+02;4.293198697e-03
1.969154510e+02;1.553155016e-02
1.971225891e+02;6.101349369e-03
1.973297424e+02;4.042839166e-03
1.975368958e+02;-3.189763054e-03
1.977440643e+02;1.077472325e-02
1.979512482e+02;4.015021492e-03
1.981584320e+02;-1.492883312e-03
1.983656311e+02;-5.999350920e-03
1.985728455e+02;5.934442743e-04
1.987800751e+02;4.126292188e-03
1.989873047e+02;7.436598651e-03
1.991945496e+02;-9.921646677e-03
1.994018097e+02;-1.242524013e-03
1.996090698e+02;4.849552643e-03
1.998163452e+02;-8.252584958e-04
2.000236359e+02;2.429412678e-03
2.002309418e+02;5.099911941e-04
2.004382477e+02;3.097037319e-03
2.006455688e+02;-3.746117000e-03
2.008528900e+02;1.138671208e-02
2.010602417e+02;4.348834045e-03
2.012675934e+02;5.711901467e-03
2.014749451e+02;1.291668601e-02
2.016823273e+02;-5.554267671e-03
2.018897095e+02;4.070656840e-03
2.020971069e+02;5.656266003e-04
2.023045044e+02;4.015021492e-03
2.025119171e+02;3.597756149e-03
2.027193451e+02;-7.418053574e-04
2.029267883e+02;5.656266119e-03
2.031342316e+02;-4.274653271e-03
2.033416901e+02;7.909500040e-03
2.035491638e+02;1.233251416e-03
2.037566376e+02;4.821734910e-04
2.039641418e+02;6.796791684e-03
2.041716309e+02;7.881682250e-04
2.043791504e+02;9.995827451e-03
2.045866699e+02;2.012147103e-03
2.047942047e+02;3.875933122e-03
2.050017548e+02;-4.358106758e-03
2.052093048e+02;9.189113975e-03
2.054168701e+02;-1.659789472e-03
2.056244507e+02;3.653391497e-03
2.058320312e+02;1.049654558e-02
2.060396423e+02;-2.132690512e-03
2.062472534e+02;1.466920134e-02
2.064548645e+02;8.827484213e-03
2.066624908e+02;5.127729382e-03
2.068701324e+02;9.022207931e-03
2.070777893e+02;-1.492883312e-03
2.072854462e+02;-2.299596556e-03
2.074931335e+02;3.764662193e-03
2.077008057e+02;-6.305345800e-03
2.079085083e+02;-1.039454807e-02
2.081162109e+02;2.568501048e-03
2.083239288e+02;1.567063853e-03
2.085316467e+02;-3.690481652e-03
2.087393951e+02;2.902313601e-03
2.089471436e+02;5.155547522e-03
2.091548920e+02;-2.021419583e-03
2.093626709e+02;-1.520700986e-03
2.095704498e+02;6.435161456e-03
2.097782440e+02;-3.690481652e-03
2.099860382e+02;3.347396618e-03
2.101938629e+02;1.166488975e-02
2.104016724e+02;-1.242524013e-03
2.106095123e+02;3.124855226e-03
2.108173523e+02;7.575687487e-03
2.110252075e+02;-1.659789472e-03
2.112330780e+02;9.439473040e-03
2.114409637e+02;9.216931649e-03
2.116488495e+02;9.550743736e-03
2.118567505e+02;-3.718299326e-03
2.120646515e+02;-8.252584375e-03
2.122725677e+02;1.313922741e-02
2.124804993e+02;2.262506401e-03
2.126884460e+02;8.020770736e-03
2.128963928e+02;1.873058500e-03
2.131043549e+02;3.486485220e-03
2.133123322e+02;1.995456405e-02
2.135203094e+02;8.688395843e-03
2.137283173e+02;-6.110621616e-03
2.139363098e+02;3.013584297e-03
2.141443329e+02;4.905187991e-03
2.143523560e+02;2.457230352e-03
2.145603943e+02;9.968009777e-03
2.147684479e+02;4.265381023e-03
2.149765015e+02;1.455793064e-02
2.151845703e+02;2.818860346e-03
2.153926544e+02;-3.634846304e-03
2.156007538e+02;1.005146280e-02
2.158088531e+02;-4.970096052e-03
2.160169678e+02;6.908062380e-03
2.162250824e+02;7.464416325e-03
2.164332123e+02;8.883119561e-03
2.166413574e+02;1.483610715e-03
2.168495178e+02;5.099911708e-03
2.170576782e+02;-2.744679805e-03
2.172658691e+02;6.768974126e-04
2.174740448e+02;-3.885205602e-03
2.176822510e+02;6.323890761e-03
2.178904572e+02;9.411655366e-03
2.180986786e+02;9.578561410e-03
2.183069000e+02;6.045713555e-03
2.185151520e+02;2.791042672e-03
2.187234039e+02;6.768974010e-03
2.189316559e+02;7.186239585e-03
2.191399384e+02;1.831332035e-02
2.193482208e+02;1.817423152e-03
2.195565186e+02;5.016458686e-03
2.197648163e+02;1.597663388e-02
2.199731293e+02;4.933005664e-03
2.201814575e+02;1.928693964e-03
2.203898010e+02;5.183365196e-03
2.205981445e+02;2.290324075e-03
2.208065033e+02;3.709026787e-04
2.210148773e+02;-3.801752464e-04
2.212232513e+02;-2.689044341e-04
2.214316406e+02;-5.804627202e-03
2.216400452e+02;-6.861699512e-04
2.218484650e+02;8.883119561e-03
2.220568848e+02;4.265381023e-03
2.222653198e+02;1.594881527e-02
2.224737549e+02;-2.021419583e-03
2.226822205e+02;1.414066460e-02
2.228906860e+02;7.492233999e-03
2.230991516e+02;1.589317992e-02
2.233076477e+02;-1.019982374e-04
2.235161438e+02;7.659140509e-03
2.237246552e+02;4.376651719e-03
2.239331665e+02;1.505864877e-02
2.241416931e+02;1.110853534e-02
